,train_loss,valid_loss,time
0,150267.9750575,113177.0033203125,111.21052120000013
1,102319.3502325,98081.0799390625,111.77232980000008
2,85934.365450625,85271.65015,111.3225553000002
3,81400.178848125,81364.7568484375,111.55895419999979
4,76495.92521625,73189.527103125,111.63992439999993
5,73100.65002375,74038.0091109375,111.59472100000039
6,70576.99822625,69172.2694578125,111.50070380000034
7,68753.168973125,67129.8334140625,111.7396048999999
8,66853.59019,64406.5169171875,108.69459029999962
9,65766.654581875,65492.7209640625,108.36605469999995
10,63859.66535,63306.63365390625,108.3497255000002
11,62081.95333625,61554.980640625,108.27719460000026
12,61084.919655625,59864.7401984375,108.4249278999996
13,59644.57965625,60028.643425,108.26076869999997
14,58738.077225,57490.5903078125,108.21592499999952
15,57341.2489946875,56300.17952734375,113.1274156999998
16,56180.838751875,57660.21443125,112.17218730000059
17,55057.05105,55579.6729984375,112.0859500000006
18,54133.464226875,54776.25117265625,112.00252939999973
19,53515.05888125,53857.0105734375,112.11746009999933
